route,count
['main'],8090
"['main', 'archive']",1095
"['main', 'rabota']",1037
"['main', 'internet']",880
"['main', 'bonus']",865
"['main', 'news']",759
"['main', 'tariffs']",668
"['main', 'online']",584
"['main', 'vklad']",514
"['main', 'rabota', 'archive']",167
"['main', 'archive', 'rabota']",167
"['main', 'bonus', 'archive']",139
"['main', 'rabota', 'bonus']",137
"['main', 'news', 'rabota']",134
"['main', 'bonus', 'rabota']",133
"['main', 'archive', 'internet']",131
"['main', 'rabota', 'news']",129
"['main', 'internet', 'rabota']",128
"['main', 'archive', 'news']",124
"['main', 'rabota', 'internet']",123
"['main', 'internet', 'archive']",123
"['main', 'archive', 'bonus']",117
"['main', 'tariffs', 'internet']",114
"['main', 'internet', 'bonus']",113
"['main', 'news', 'archive']",112
"['main', 'news', 'internet']",108
"['main', 'archive', 'tariffs']",103
"['main', 'tariffs', 'archive']",102
"['main', 'internet', 'news']",101
"['main', 'main']",94
"['main', 'archive', 'online']",92
"['main', 'digital']",91
"['main', 'archive', 'main']",91
"['main', 'rabota', 'main']",90
"['main', 'rabota', 'online']",88
"['main', 'internet', 'tariffs']",88
"['main', 'bonus', 'internet']",87
"['main', 'tariffs', 'bonus']",86
"['main', 'bonus', 'news']",85
"['main', 'news', 'bonus']",85
"['main', 'tariffs', 'rabota']",81
"['main', 'rabota', 'tariffs']",77
"['main', 'internet', 'online']",74
"['main', 'rabota', 'vklad']",73
"['main', 'internet', 'main']",73
"['main', 'vklad', 'rabota']",72
"['main', 'online', 'rabota']",71
"['main', 'online', 'archive']",69
"['main', 'bonus', 'tariffs']",69
"['main', 'bonus', 'online']",68
"['main', 'archive', 'vklad']",67
"['main', 'tariffs', 'news']",64
"['main', 'internet', 'vklad']",64
"['main', 'online', 'bonus']",62
"['main', 'news', 'online']",61
"['main', 'online', 'news']",59
"['main', 'online', 'internet']",58
"['main', 'vklad', 'archive']",57
"['main', 'bonus', 'main']",57
"['main', 'news', 'tariffs']",55
"['main', 'news', 'main']",55
"['main', 'tariffs', 'main']",52
"['main', 'tariffs', 'online']",52
"['main', 'vklad', 'news']",52
"['main', 'news', 'vklad']",51
"['main', 'tariffs', 'vklad']",48
"['main', 'vklad', 'internet']",48
"['main', 'online', 'main']",48
"['main', 'bonus', 'vklad']",48
"['main', 'online', 'tariffs']",45
"['main', 'vklad', 'bonus']",44
"['main', 'vklad', 'online']",40
"['main', 'online', 'vklad']",37
"['main', 'vklad', 'tariffs']",35
"['main', 'archive', 'internet', 'bonus']",27
"['main', 'vklad', 'main']",27
"['main', 'archive', 'rabota', 'archive']",26
"['main', 'news', 'rabota', 'archive']",23
"['main', 'bonus', 'news', 'rabota']",22
"['main', 'bonus', 'internet', 'rabota']",22
"['main', 'bonus', 'rabota', 'bonus']",22
"['main', 'bonus', 'archive', 'rabota']",21
"['main', 'archive', 'internet', 'archive']",21
"['main', 'rabota', 'archive', 'rabota']",21
